文件名,名称,单位,描述,物品类型,种植/饲养后物品文件名,收获说明,所需房屋等级,所需碎玉,所需金钱(金)
animal/yuantishouyouzai,原蹄兽幼仔,只,这家伙真漂亮，一定能长成一只大原蹄兽,home_infancy_animal,home/grown/animal/yuantishou,可得到原蹄兽幼仔，碎布，轻皮，粗麻布，薄兽皮,1,60,60000
animal/shizhuashouyouzai,石爪兽幼仔,只,这家伙真漂亮，一定能长成一只大石爪兽,home_infancy_animal,home/grown/animal/shizhuashou,可得到石爪兽幼仔，黄麻布，短毛皮，亚麻布，针毛皮,1,70,70000
ore/tongkuangzhiyuan,铜矿之源,块,黄灿灿的一团，可以在你的家中汇聚出一处青铜矿,home_infancy_ore,home/grown/ore/qingtongkuang,可以得到铜矿之源、铜矿、青铜、黄水玉,1,1,1000
ore/xinkuangzhiyuan,锌矿之源,块,银灿灿的一团，可以在你的家中汇聚出一处晶锌矿,home_infancy_ore,home/grown/ore/jingxinkuang,可以得到锌矿之源，锌矿，晶锌石，黄水玉,2,5,5000
ore/lvkuangzhiyuan,铝矿之源,块,银灿灿的一团，可以在你的家中汇聚出一处晶铝矿,home_infancy_ore,home/grown/ore/jinglvkuang,可得到铝矿之源，铝矿，晶铝石，黄水玉,3,10,10000
ore/tiekuangzhiyuan,铁矿之源,块,黑漆漆的一团，可以在你的家中汇聚出一处晶铁矿,home_infancy_ore,home/grown/ore/jingtiekuang,可得到铁矿之源，铁矿，晶铁石，白晶石,3,10,10000
ore/yinkuangzhiyuan,银矿之源,块,银灿灿的一团，可以在你的家中汇聚出一处晶银矿,home_infancy_ore,home/grown/ore/jingyinkuang,可得到银矿之源，银矿，晶银石，白晶石,4,10,10000
ore/jinkuangzhiyuan,金矿之源,块,黄灿灿的一团，可以在你的家中汇聚出一处晶金矿,home_infancy_ore,home/grown/ore/jingjinkuang,可得到金矿之源，金矿，晶金矿，白晶石,1,1,1000
ore/bojinkuangzhiyuan,铂金矿之源,块,银灿灿的一团，可以在你的家中汇聚出一处晶铂金矿,home_infancy_ore,home/grown/ore/jinbojinkuang,可得到铂金矿之源，铂金矿石，晶铂金，紫琥珀,1,1,1000
ore/wujinkuangzhiyuan,钨金矿之源,块,黑漆漆的一团，可以在你的家中汇聚出一处晶钨金矿,home_infancy_ore,home/grown/ore/jingwujinkuang,可得到钨金矿之源，钨金矿石，晶铂金，紫琥珀,2,2,2000
ore/fantiekuangzhiyuan,钒铁矿之源,块,黑漆漆的一团，可以在你的家中汇聚出一处晶钒铁矿,home_infancy_ore,home/grown/ore/jingfantiekuang,可得到钒铁矿之源，钒铁矿石，晶钒铁，青月石,2,2,2000
ore/taijinkuangzhiyuan,钛金矿之源,块,银灿灿的一团，可以在你的家中汇聚出一处晶钛金矿矿,home_infancy_ore,home/grown/ore/jingtaijinkuang,可得到钛金矿之源，钛金矿石，晶钛金，青月石,2,2,2000
plant/guangyulanhuazi,广玉兰花籽,颗,看起来长势不错，种在家园中，可以得到一棵广玉兰,home_infancy_plant,home/grown/plant/guangyulan,可得到广玉兰花籽，广玉兰,2,2,2000
plant/maweilianhuazi,马尾莲花籽,颗,看起来长势不错，种在家园中，可以得到一棵马尾莲,home_infancy_plant,home/grown/plant/maweilian,可得到马尾莲花籽，马尾莲,2,2,2000
plant/zilianhuazi,紫莲花籽,颗,看起来长势不错，种在家园中，可以得到一棵紫莲花,home_infancy_plant,home/grown/plant/zilianhua,可得到紫莲花籽，紫莲花,2,2,2000
plant/fengxianhuazi,凤仙花籽,颗,看起来长势不错，种在家园中，可以得到一棵凤仙花,home_infancy_plant,home/grown/plant/fengxianhua,可得到凤仙花籽，凤仙花,2,2,2000
plant/zhudinghonghuazi,朱顶红花籽,颗,看起来长势不错，种在家园中，可以得到一棵朱顶红,home_infancy_plant,home/grown/plant/zhudinghong,可得到朱顶红花籽，朱顶红,2,2,2000
plant/hehuazhongzi,荷花种子,颗,看起来长势不错，种在家园中，可以得到一棵荷花,home_infancy_plant,home/grown/plant/hehua,可得到荷花种子，荷花,2,2,2000
plant/rongxianjuhuazi,绣线菊花籽,颗,看起来长势不错，种在家园中，可以得到一棵绒线菊,home_infancy_plant,home/grown/plant/rongxianju,可得到绒线菊花籽，绒线菊,2,2,2000
